stream,department,job_role,company_level,company_name,company_locations,technologies
Engineering,ECE,Embedded Engineer,Startup,Sankalp Semiconductor,Hubli,"C,Embedded Systems,RTOS,Microcontrollers"
Engineering,ECE,VLSI Engineer,Startup,Invecas,Hyderabad,"VLSI,Verilog,VHDL,ASIC Design,Physical Design"
Engineering,ECE,IoT Engineer,Startup,Stellapps,Bangalore,
Engineering,ECE,Network Engineer,Startup,Tejas Networks,Bangalore,"Networking,CCNA,Routing,Switching,Firewall"
Engineering,ECE,Signal Processing Engineer,Startup,Saankhya Labs,Bangalore,
Engineering,ECE,Embedded Engineer,Mid,L&T Technology Services,Bangalore,"C,Embedded Systems,RTOS,Microcontrollers"
Engineering,ECE,VLSI Engineer,Mid,Tata Elxsi,Bangalore,"VLSI,Verilog,VHDL,ASIC Design,Physical Design"
Engineering,ECE,IoT Engineer,Mid,Bosch,Bangalore,
Engineering,ECE,Network Engineer,Mid,Cisco,Bangalore,"Networking,CCNA,Routing,Switching,Firewall"
Engineering,ECE,Signal Processing Engineer,Mid,Qualcomm,Hyderabad,
Engineering,ECE,Embedded Engineer,High,Intel,Bangalore,"C,Embedded Systems,RTOS,Microcontrollers"
Engineering,ECE,VLSI Engineer,High,AMD,Bangalore,"VLSI,Verilog,VHDL,ASIC Design,Physical Design"
Engineering,ECE,IoT Engineer,High,Samsung R&D,Bangalore,
Engineering,ECE,Network Engineer,High,Ericsson,Gurgaon,"Networking,CCNA,Routing,Switching,Firewall"
Engineering,ECE,Signal Processing Engineer,High,NVIDIA,Pune,
Engineering,EEE,Electrical Engineer,Startup,Exicom,Gurgaon,"Power Systems,Electrical Machines,PLC,SCADA"
Engineering,EEE,Power Systems Engineer,Startup,Ampere Vehicles,Chennai,
Engineering,EEE,Control Systems Engineer,Startup,Gridbots,Ahmedabad,
Engineering,EEE,PLC Engineer,Startup,Addverb,Noida,
Engineering,EEE,Automation Engineer,Startup,Festo India,Bangalore,
Engineering,EEE,Electrical Engineer,Mid,ABB India,Bangalore,"Power Systems,Electrical Machines,PLC,SCADA"
Engineering,EEE,Power Systems Engineer,Mid,Schneider Electric,Bangalore,
Engineering,EEE,Control Systems Engineer,Mid,L&T,Mumbai,
Engineering,EEE,PLC Engineer,Mid,Siemens,Pune,
Engineering,EEE,Automation Engineer,Mid,Rockwell Automation,Bangalore,
Engineering,EEE,Electrical Engineer,High,Hitachi Energy,Vadodara,"Power Systems,Electrical Machines,PLC,SCADA"
Engineering,EEE,Power Systems Engineer,High,GE Power,Noida,
Engineering,EEE,Control Systems Engineer,High,Honeywell,Bangalore,
Engineering,EEE,PLC Engineer,High,Mitsubishi Electric,Pune,
Engineering,EEE,Automation Engineer,High,Siemens Energy,Gurgaon,
Engineering,Mechanical,Design Engineer,Startup,Ather Energy,Bangalore,
Engineering,Mechanical,Production Engineer,Startup,Ola Electric,Bangalore,
Engineering,Mechanical,Manufacturing Engineer,Startup,TVS iQube,Chennai,
Engineering,Mechanical,Quality Engineer,Startup,ReNew Power,Gurgaon,
Engineering,Mechanical,Maintenance Engineer,Startup,BluSmart,Delhi,
Engineering,Mechanical,Design Engineer,Mid,TVS Motors,Chennai,
Engineering,Mechanical,Production Engineer,Mid,Ashok Leyland,Chennai,
Engineering,Mechanical,Manufacturing Engineer,Mid,Mahindra,Pune,
Engineering,Mechanical,Quality Engineer,Mid,Bosch,Bangalore,
Engineering,Mechanical,Maintenance Engineer,Mid,L&T Heavy Engineering,Hazira,
Engineering,Mechanical,Design Engineer,High,Siemens,Pune,
Engineering,Mechanical,Production Engineer,High,GE,Bangalore,
Engineering,Mechanical,Manufacturing Engineer,High,Toyota,Bangalore,
Engineering,Mechanical,Quality Engineer,High,Caterpillar,Chennai,
Engineering,Mechanical,Maintenance Engineer,High,Shell,Bangalore,
Engineering,Civil,Site Engineer,Startup,Capacit'e Infraprojects,Mumbai,
Engineering,Civil,Structural Engineer,Startup,UrbanFrame,Bangalore,
Engineering,Civil,Planning Engineer,Startup,Brick&Bolt,Bangalore,
Engineering,Civil,Quantity Surveyor,Startup,Infra.Market,Mumbai,
Engineering,Civil,Construction Manager,Startup,Square Yards,Gurgaon,
Engineering,Civil,Site Engineer,Mid,Larsen & Toubro,Pan India,
Engineering,Civil,Structural Engineer,Mid,Shapoorji Pallonji,Mumbai,
Engineering,Civil,Planning Engineer,Mid,Afcons,Mumbai,
Engineering,Civil,Quantity Surveyor,Mid,Tata Projects,Hyderabad,
Engineering,Civil,Construction Manager,Mid,Sobha,Bangalore,
Engineering,Civil,Site Engineer,High,AECOM,Gurgaon,
Engineering,Civil,Structural Engineer,High,Jacobs,Bangalore,
Engineering,Civil,Planning Engineer,High,Bechtel,Delhi,
Engineering,Civil,Quantity Surveyor,High,Fluor,Gurgaon,
Engineering,Civil,Construction Manager,High,Samsung C&T,Noida,
Medical,MBBS,Clinical Assistant,Startup,Mfine,Bangalore,
Medical,MBBS,Medical Officer,Startup,Practo,Bangalore,
Medical,MBBS,Junior Doctor,Startup,DocsApp,Bangalore,
Medical,MBBS,Resident Doctor,Startup,MediBuddy,Bangalore,
Medical,MBBS,Healthcare Analyst,Startup,HealthifyMe,Bangalore,
Medical,MBBS,Clinical Assistant,Mid,Apollo Hospitals,Chennai,
Medical,MBBS,Medical Officer,Mid,Fortis,Delhi,
Medical,MBBS,Junior Doctor,Mid,Manipal Hospitals,Bangalore,
Medical,MBBS,Resident Doctor,Mid,Aster DM,Hyderabad,
Medical,MBBS,Healthcare Analyst,Mid,Max Healthcare,Delhi,
Medical,MBBS,Clinical Assistant,High,AIIMS,Delhi,
Medical,MBBS,Medical Officer,High,Medanta,Gurgaon,
Medical,MBBS,Junior Doctor,High,CMC Vellore,Vellore,
Medical,MBBS,Resident Doctor,High,Johns Hopkins India,Hyderabad,
Medical,MBBS,Healthcare Analyst,High,WHO India,Delhi,
Medical,Nursing,Staff Nurse,Startup,Portea,Bangalore,
Medical,Nursing,Clinical Nurse,Startup,Care24,Mumbai,
Medical,Nursing,Nursing Assistant,Startup,HealthCare atHOME,Delhi,
Medical,Nursing,Home Care Nurse,Startup,Nightingales,Bangalore,
Medical,Nursing,ICU Nurse,Startup,Apollo HomeCare,Chennai,
Medical,Nursing,Staff Nurse,Mid,Apollo Hospitals,Chennai,
Medical,Nursing,Clinical Nurse,Mid,Fortis,Delhi,
Medical,Nursing,Nursing Assistant,Mid,Manipal Hospitals,Bangalore,
Medical,Nursing,Home Care Nurse,Mid,Aster DM,Hyderabad,
Medical,Nursing,ICU Nurse,Mid,Max Healthcare,Delhi,
Medical,Nursing,Staff Nurse,High,AIIMS,Delhi,
Medical,Nursing,Clinical Nurse,High,CMC Vellore,Vellore,
Medical,Nursing,Nursing Assistant,High,Johns Hopkins India,Hyderabad,
Medical,Nursing,Home Care Nurse,High,Mayo Clinic India,Chennai,
Medical,Nursing,ICU Nurse,High,WHO India,Delhi,
Medical,Physiotherapy,Physiotherapist,Startup,Physis,Bangalore,
Medical,Physiotherapy,Rehab Specialist,Startup,FitMe,Bangalore,
Medical,Physiotherapy,Sports Therapist,Startup,Cult Fit,Bangalore,
Medical,Physiotherapy,Orthopedic Assistant,Startup,Cure.fit Rehab,Bangalore,
Medical,Physiotherapy,Clinical Physiotherapist,Startup,Healthify Physio,Bangalore,
Medical,Physiotherapy,Physiotherapist,Mid,Apollo Hospitals,Chennai,
Medical,Physiotherapy,Rehab Specialist,Mid,Fortis,Delhi,
Medical,Physiotherapy,Sports Therapist,Mid,Manipal Hospitals,Bangalore,
Medical,Physiotherapy,Orthopedic Assistant,Mid,Aster DM,Hyderabad,
Medical,Physiotherapy,Clinical Physiotherapist,Mid,Max Healthcare,Delhi,
Medical,Physiotherapy,Physiotherapist,High,AIIMS,Delhi,
Medical,Physiotherapy,Rehab Specialist,High,CMC Vellore,Vellore,
Medical,Physiotherapy,Sports Therapist,High,Olympic Rehab India,Delhi,
Medical,Physiotherapy,Orthopedic Assistant,High,Johns Hopkins India,Hyderabad,
Medical,Physiotherapy,Clinical Physiotherapist,High,WHO India,Delhi,
Pharma,B.Pharmacy,Drug Safety Associate,Startup,PharmaStart,Bangalore,
Pharma,B.Pharmacy,Medical Coder,Startup,CorroHealth,Hyderabad,
Pharma,B.Pharmacy,Quality Analyst,Mid,Cipla,Mumbai,
Pharma,B.Pharmacy,Production Chemist,Mid,Dr Reddy’s,Hyderabad,
Pharma,B.Pharmacy,Regulatory Affairs,High,Sun Pharma,Mumbai,
Pharma,M.Pharmacy,Clinical Research Associate,Startup,IQVIA Start,Bangalore,
Pharma,M.Pharmacy,Formulation Scientist,Startup,PharmaNest,Hyderabad,
Pharma,M.Pharmacy,Research Scientist,Mid,Aurobindo,Hyderabad,
Pharma,M.Pharmacy,Drug Safety Officer,Mid,Pfizer,Chennai,
Pharma,M.Pharmacy,Clinical Trial Manager,High,Novartis,Hyderabad,
Pharma,D.Pharmacy,Pharmacist,Startup,MedPlus,Hyderabad,
Pharma,D.Pharmacy,Hospital Pharmacist,Startup,Apollo Pharmacy,Chennai,
Pharma,D.Pharmacy,Retail Pharmacist,Mid,1mg,Bangalore,
Pharma,D.Pharmacy,Dispensing Pharmacist,Mid,NetMeds,Chennai,
Pharma,D.Pharmacy,Senior Pharmacist,High,WHO Pharma,Delhi,
UG,B.A,Content Writer,Startup,Pepper Content,Mumbai,
UG,B.A,HR Executive,Startup,HirePro,Bangalore,
UG,B.A,Public Relations Officer,Mid,Adfactors,Mumbai,
UG,B.A,Social Media Manager,Mid,Social Beat,Bangalore,
UG,B.A,Policy Analyst,High,NITI Aayog,Delhi,
UG,B.Sc,Lab Technician,Startup,Neuberg,Chennai,
UG,B.Sc,Research Assistant,Startup,SciGenom,Bangalore,
UG,B.Sc,Data Analyst,Mid,Accenture,Hyderabad,"Python,SQL,Excel,Power BI,Tableau"
UG,B.Sc,Quality Analyst,Mid,Biocon,Bangalore,
UG,B.Sc,Scientist,High,ISRO,Bangalore,
UG,B.Com,Accounts Executive,Startup,Khatabook,Bangalore,
UG,B.Com,Audit Assistant,Startup,ClearTax,Bangalore,
UG,B.Com,Financial Analyst,Mid,Deloitte,Hyderabad,
UG,B.Com,Tax Consultant,Mid,EY,Mumbai,
UG,B.Com,Chartered Accountant,High,KPMG,Delhi,
PG,M.Sc,Research Scientist,Startup,SciLabs,Bangalore,
PG,M.Sc,Data Scientist,Startup,DataBricks India,Bangalore,"Python,Statistics,Pandas,Machine Learning,SQL"
PG,M.Sc,Analyst,Mid,IBM,Bangalore,
PG,M.Sc,Bioinformatician,Mid,MedGenome,Bangalore,
PG,M.Sc,Senior Scientist,High,CSIR,Delhi,
PG,M.Tech,R&D Engineer,Startup,DeepTech Labs,Hyderabad,
PG,M.Tech,AI Engineer,Startup,AIWorks,Bangalore,"Python,Machine Learning,Deep Learning,TensorFlow,PyTorch"
PG,M.Tech,Software Architect,Mid,Infosys,Bangalore,"System Design,Microservices,Cloud Architecture,AWS,Java"
PG,M.Tech,Systems Engineer,Mid,Qualcomm,Hyderabad,
PG,M.Tech,Principal Engineer,High,Intel,Bangalore,
PG,MBA,Business Analyst,Startup,StrategyHub,Bangalore,
PG,MBA,Product Manager,Startup,Zomato,Gurgaon,
PG,MBA,Management Consultant,Mid,Accenture,Mumbai,
PG,MBA,Operations Manager,Mid,Flipkart,Bangalore,
PG,MBA,Strategy Manager,High,BCG,Delhi,
PG,MCA,Software Developer,Startup,CodeCraft,Bangalore,
PG,MCA,Web Developer,Startup,WebEngage,Bangalore,
PG,MCA,Application Developer,Mid,TCS,Hyderabad,
PG,MCA,System Analyst,Mid,Wipro,Bangalore,
PG,MCA,Technical Lead,High,Google,Bangalore,
